ID,Pred
2014_1107_1110,0.15752
2014_1107_1112,0.01607
2014_1107_1113,0.08785
2014_1107_1124,0.1683
2014_1107_1140,0.06387
2014_1107_1142,0.17382
2014_1107_1153,0.10725
2014_1107_1157,0.26512
2014_1107_1160,0.06199
2014_1107_1163,0.03728
2014_1107_1166,0.01948
2014_1107_1173,0.02724
2014_1107_1174,0.14628
2014_1107_1181,0.02646
2014_1107_1184,0.44558
2014_1107_1196,0.03204
2014_1107_1203,0.28651
2014_1107_1211,0.05502
2014_1107_1217,0.26183
2014_1107_1234,0.11608
2014_1107_1235,0.12172
2014_1107_1242,0.02743
2014_1107_1243,0.22116
2014_1107_1246,0.01505
2014_1107_1257,0.03541
2014_1107_1264,0.03589
2014_1107_1269,0.29921
2014_1107_1272,0.03036
2014_1107_1273,0.0264
2014_1107_1276,0.11755
2014_1107_1277,0.08284
2014_1107_1291,0.28619
2014_1107_1295,0.18156
2014_1107_1300,0.70825
2014_1107_1301,0.10724
2014_1107_1304,0.29348
2014_1107_1307,0.36759
2014_1107_1308,0.06801
2014_1107_1314,0.12233
2014_1107_1326,0.13899
2014_1107_1328,0.03116
2014_1107_1329,0.06195
2014_1107_1332,0.05844
2014_1107_1338,0.02116
2014_1107_1344,0.09573
2014_1107_1361,0.15013
2014_1107_1372,0.06675
2014_1107_1386,0.02909
2014_1107_1387,0.12587
2014_1107_1390,0.04422
2014_1107_1393,0.01388
2014_1107_1397,0.0958
2014_1107_1400,0.03199
2014_1107_1409,0.05293
2014_1107_1411,0.12675
2014_1107_1417,0.36516
2014_1107_1418,0.06666
2014_1107_1433,0.07047
2014_1107_1437,0.18624
2014_1107_1438,0.14424
2014_1107_1444,0.0822
2014_1107_1451,0.03046
2014_1107_1454,0.04527
2014_1107_1455,0.09174
2014_1107_1458,0.03344
2014_1107_1459,0.27483
2014_1107_1462,0.02278
2014_1110_1112,0.08116
2014_1110_1113,0.34245
2014_1110_1124,0.5225
2014_1110_1140,0.26948
2014_1110_1142,0.53219
2014_1110_1153,0.39378
2014_1110_1157,0.66111
2014_1110_1160,0.26326
2014_1110_1163,0.17315
2014_1110_1166,0.09699
2014_1110_1173,0.13151
2014_1110_1174,0.48092
2014_1110_1181,0.12812
2014_1110_1184,0.81294
2014_1110_1196,0.1518
2014_1110_1203,0.68467
2014_1110_1211,0.23945
2014_1110_1217,0.6573
2014_1110_1234,0.41525
2014_1110_1235,0.42837
2014_1110_1242,0.13234
2014_1110_1243,0.6056
2014_1110_1246,0.0763
2014_1110_1257,0.16563
2014_1110_1264,0.16757
2014_1110_1269,0.69777
2014_1110_1272,0.14478
2014_1110_1273,0.12787
2014_1110_1276,0.41871
2014_1110_1277,0.32815
2014_1110_1291,0.68433
2014_1110_1295,0.54537
2014_1110_1300,0.92921
2014_1110_1301,0.39376
2014_1110_1304,0.69194
2014_1110_1307,0.75863
2014_1110_1308,0.28293
2014_1110_1314,0.42976
2014_1110_1326,0.46607
2014_1110_1328,0.14814
2014_1110_1329,0.26313
2014_1110_1332,0.25128
2014_1110_1338,0.10466
2014_1110_1344,0.36405
2014_1110_1361,0.48854
2014_1110_1372,0.27889
2014_1110_1386,0.13943
2014_1110_1387,0.43777
2014_1110_1390,0.20012
2014_1110_1393,0.07071
2014_1110_1397,0.36424
2014_1110_1400,0.15159
2014_1110_1409,0.23206
2014_1110_1411,0.43972
2014_1110_1417,0.75671
2014_1110_1418,0.2786
2014_1110_1433,0.29075
2014_1110_1437,0.55308
2014_1110_1438,0.47682
2014_1110_1444,0.32626
2014_1110_1451,0.14519
2014_1110_1454,0.20407
2014_1110_1455,0.35324
2014_1110_1458,0.15758
2014_1110_1459,0.67206
2014_1110_1462,0.11195
2014_1112_1113,0.85634
2014_1112_1124,0.92606
2014_1112_1140,0.80851
2014_1112_1142,0.92868
2014_1112_1153,0.88144
2014_1112_1157,0.95713
2014_1112_1160,0.80353
2014_1112_1163,0.7056
2014_1112_1166,0.55145
2014_1112_1173,0.63412
2014_1112_1174,0.91382
2014_1112_1181,0.62714
2014_1112_1184,0.98029
2014_1112_1196,0.67195
2014_1112_1203,0.96132
2014_1112_1211,0.78277
2014_1112_1217,0.95643
2014_1112_1234,0.89044
2014_1112_1235,0.89558
2014_1112_1242,0.63579
2014_1112_1243,0.94616
2014_1112_1246,0.48598
2014_1112_1257,0.69437
2014_1112_1264,0.69733
2014_1112_1269,0.96354
2014_1112_1272,0.65958
2014_1112_1273,0.62661
2014_1112_1276,0.89183
2014_1112_1277,0.84826
2014_1112_1291,0.96126
2014_1112_1295,0.93211
2014_1112_1300,0.99339
2014_1112_1301,0.88143
2014_1112_1304,0.96256
2014_1112_1307,0.97295
2014_1112_1308,0.81871
2014_1112_1314,0.89611
2014_1112_1326,0.90902
2014_1112_1328,0.66559
2014_1112_1329,0.80343
2014_1112_1332,0.79344
2014_1112_1338,0.57227
2014_1112_1344,0.86759
2014_1112_1361,0.9162
2014_1112_1372,0.81572
2014_1112_1386,0.64966
2014_1112_1387,0.89911
2014_1112_1390,0.74116
2014_1112_1393,0.46549
2014_1112_1397,0.86768
2014_1112_1400,0.67159
2014_1112_1409,0.77571
2014_1112_1411,0.89983
2014_1112_1417,0.97268
2014_1112_1418,0.8155
2014_1112_1433,0.82431
2014_1112_1437,0.93405
2014_1112_1438,0.91252
2014_1112_1444,0.84715
2014_1112_1451,0.66034
2014_1112_1454,0.74584
2014_1112_1455,0.86209
2014_1112_1458,0.68163
2014_1112_1459,0.95911
2014_1112_1462,0.59063
2014_1113_1124,0.67991
2014_1113_1140,0.41729
2014_1113_1142,0.68831
2014_1113_1153,0.55771
2014_1113_1157,0.7911
2014_1113_1160,0.40956
2014_1113_1163,0.28902
2014_1113_1166,0.17254
2014_1113_1173,0.22717
2014_1113_1174,0.64266
2014_1113_1181,0.22195
2014_1113_1184,0.89402
2014_1113_1196,0.25783
2014_1113_1203,0.80824
2014_1113_1211,0.37934
2014_1113_1217,0.78828
2014_1113_1234,0.57957
2014_1113_1235,0.59262
2014_1113_1242,0.22844
2014_1113_1243,0.74879
2014_1113_1246,0.13819
2014_1113_1257,0.27815
2014_1113_1264,0.28097
2014_1113_1269,0.81758
2014_1113_1272,0.24734
2014_1113_1273,0.22157
2014_1113_1276,0.58303
2014_1113_1277,0.48669
2014_1113_1291,0.808
2014_1113_1295,0.69958
2014_1113_1300,0.96224
2014_1113_1301,0.55769
2014_1113_1304,0.81344
2014_1113_1307,0.85918
2014_1113_1308,0.43373
2014_1113_1314,0.59399
2014_1113_1326,0.62887
2014_1113_1328,0.25237
2014_1113_1329,0.40941
2014_1113_1332,0.39449
2014_1113_1338,0.18495
2014_1113_1344,0.52635
2014_1113_1361,0.64964
2014_1113_1372,0.42882
2014_1113_1386,0.23926
2014_1113_1387,0.60183
2014_1113_1390,0.3269
2014_1113_1393,0.12869
2014_1113_1397,0.52655
2014_1113_1400,0.25752
2014_1113_1409,0.36972
2014_1113_1411,0.60373
2014_1113_1417,0.85791
2014_1113_1418,0.42847
2014_1113_1433,0.44314
2014_1113_1437,0.70608
2014_1113_1438,0.63889
2014_1113_1444,0.48455
2014_1113_1451,0.24797
2014_1113_1454,0.33231
2014_1113_1455,0.51462
2014_1113_1458,0.26639
2014_1113_1459,0.79912
2014_1113_1462,0.1966
2014_1124_1140,0.25419
2014_1124_1142,0.51245
2014_1124_1153,0.37506
2014_1124_1157,0.64316
2014_1124_1160,0.2482
2014_1124_1163,0.16211
2014_1124_1166,0.09028
2014_1124_1173,0.12273
2014_1124_1174,0.4612
2014_1124_1181,0.11954
2014_1124_1184,0.8006
2014_1124_1196,0.14189
2014_1124_1203,0.66734
2014_1124_1211,0.22534
2014_1124_1217,0.63926
2014_1124_1234,0.39617
2014_1124_1235,0.40911
2014_1124_1242,0.12351
2014_1124_1243,0.58655
2014_1124_1246,0.07091
2014_1124_1257,0.15498
2014_1124_1264,0.15682
2014_1124_1269,0.68082
2014_1124_1272,0.13525
2014_1124_1273,0.11931
2014_1124_1276,0.39958
2014_1124_1277,0.31094
2014_1124_1291,0.667
2014_1124_1295,0.52569
2014_1124_1300,0.92383
2014_1124_1301,0.37504
2014_1124_1304,0.67482
2014_1124_1307,0.74384
2014_1124_1308,0.26716
2014_1124_1314,0.41048
2014_1124_1326,0.44644
2014_1124_1328,0.13843
2014_1124_1329,0.24808
2014_1124_1332,0.23669
2014_1124_1338,0.09747
2014_1124_1344,0.34594
2014_1124_1361,0.4688
2014_1124_1372,0.26326
2014_1124_1386,0.1302
2014_1124_1387,0.41839
2014_1124_1390,0.18775
2014_1124_1393,0.06568
2014_1124_1397,0.34612
2014_1124_1400,0.14169
2014_1124_1409,0.21825
2014_1124_1411,0.42033
2014_1124_1417,0.74185
2014_1124_1418,0.26298
2014_1124_1433,0.2747
2014_1124_1437,0.53345
2014_1124_1438,0.45713
2014_1124_1444,0.30911
2014_1124_1451,0.13565
2014_1124_1454,0.19151
2014_1124_1455,0.33538
2014_1124_1458,0.14736
2014_1124_1459,0.65439
2014_1124_1462,0.10432
2014_1140_1142,0.75714
2014_1140_1153,0.64031
2014_1140_1157,0.84243
2014_1140_1160,0.49476
2014_1140_1163,0.36463
2014_1140_1166,0.22742
2014_1140_1173,0.29328
2014_1140_1174,0.71744
2014_1140_1181,0.2871
2014_1140_1184,0.92254
2014_1140_1196,0.32906
2014_1140_1203,0.85613
2014_1140_1211,0.46318
2014_1140_1217,0.84016
2014_1140_1234,0.66057
2014_1140_1235,0.67253
2014_1140_1242,0.29477
2014_1140_1243,0.80799
2014_1140_1246,0.18459
2014_1140_1257,0.35233
2014_1140_1264,0.35553
2014_1140_1269,0.86352
2014_1140_1272,0.31691
2014_1140_1273,0.28665
2014_1140_1276,0.66376
2014_1140_1277,0.57238
2014_1140_1291,0.85593
2014_1140_1295,0.76676
2014_1140_1300,0.97295
2014_1140_1301,0.64029
2014_1140_1304,0.86025
2014_1140_1307,0.89598
2014_1140_1308,0.51954
2014_1140_1314,0.67378
2014_1140_1326,0.70521
2014_1140_1328,0.32275
2014_1140_1329,0.4946
2014_1140_1332,0.47911
2014_1140_1338,0.24263
2014_1140_1344,0.61072
2014_1140_1361,0.72358
2014_1140_1372,0.51454
2014_1140_1386,0.30749
2014_1140_1387,0.6809
2014_1140_1390,0.40675
2014_1140_1393,0.17254
2014_1140_1397,0.61091
2014_1140_1400,0.3287
2014_1140_1409,0.45299
2014_1140_1411,0.68262
2014_1140_1417,0.895
2014_1140_1418,0.51418
2014_1140_1433,0.52907
2014_1140_1437,0.77229
2014_1140_1438,0.7141
2014_1140_1444,0.57029
2014_1140_1451,0.31764
2014_1140_1454,0.41267
2014_1140_1455,0.59948
2014_1140_1458,0.33891
2014_1140_1459,0.84886
2014_1140_1462,0.25676
2014_1142_1153,0.36599
2014_1142_1157,0.63419
2014_1142_1160,0.24101
2014_1142_1163,0.1569
2014_1142_1166,0.08714
2014_1142_1173,0.11861
2014_1142_1174,0.45156
2014_1142_1181,0.11551
2014_1142_1184,0.79432
2014_1142_1196,0.13722
2014_1142_1203,0.65866
2014_1142_1211,0.21863
2014_1142_1217,0.63025
2014_1142_1234,0.38691
2014_1142_1235,0.39975
2014_1142_1242,0.11936
2014_1142_1243,0.57709
2014_1142_1246,0.06839
2014_1142_1257,0.14995
2014_1142_1264,0.15174
2014_1142_1269,0.67232
2014_1142_1272,0.13077
2014_1142_1273,0.11528
2014_1142_1276,0.39029
2014_1142_1277,0.30268
2014_1142_1291,0.65831
2014_1142_1295,0.51598
2014_1142_1300,0.92104
2014_1142_1301,0.36597
2014_1142_1304,0.66623
2014_1142_1307,0.73637
2014_1142_1308,0.25961
2014_1142_1314,0.40111
2014_1142_1326,0.43685
2014_1142_1328,0.13385
2014_1142_1329,0.2409
2014_1142_1332,0.22974
2014_1142_1338,0.09411
2014_1142_1344,0.33719
2014_1142_1361,0.45913
2014_1142_1372,0.25579
2014_1142_1386,0.12586
2014_1142_1387,0.40896
2014_1142_1390,0.18189
2014_1142_1393,0.06334
2014_1142_1397,0.33737
2014_1142_1400,0.13703
2014_1142_1409,0.21169
2014_1142_1411,0.41089
2014_1142_1417,0.73433
2014_1142_1418,0.25551
2014_1142_1433,0.26703
2014_1142_1437,0.52376
2014_1142_1438,0.4475
2014_1142_1444,0.30087
2014_1142_1451,0.13115
2014_1142_1454,0.18557
2014_1142_1455,0.32677
2014_1142_1458,0.14254
2014_1142_1459,0.64554
2014_1142_1462,0.10074
2014_1153_1157,0.75224
2014_1153_1160,0.35738
2014_1153_1163,0.2458
2014_1153_1166,0.14323
2014_1153_1173,0.19073
2014_1153_1174,0.59049
2014_1153_1181,0.18614
2014_1153_1184,0.87119
2014_1153_1196,0.21785
2014_1153_1203,0.77166
2014_1153_1211,0.32886
2014_1153_1217,0.74907
2014_1153_1234,0.52499
2014_1153_1235,0.53839
2014_1153_1242,0.19184
2014_1153_1243,0.70499
2014_1153_1246,0.11392
2014_1153_1257,0.23603
